"subject","item","sound","block_contrast","type","block_G","response","adjusted_response_time"
6,58,"-0.5","block2","Vowel","block2","1",-360.75
6,59,"-0.5","block2","Vowel","block2","1",-370.75
6,60,"0.5","block2","Consonant","block2","0",-21.75
6,61,"0.5","block2","Consonant","block2","1",-400.75
6,62,"-0.5","block2","Vowel","block2","1",-490.75
6,63,"-0.5","block2","Vowel","block2","1",-400.75
6,64,"0.5","block2","Consonant","block2","1",-330.75
6,65,"-0.5","block3","Vowel","block3","1",444.625
6,66,"0.5","block3","Consonant","block3","0",485.625
6,67,"0.5","block3","Consonant","block3","1",-216.375
6,68,"-0.5","block3","Vowel","block3","1",-119.375
6,69,"0.5","block3","Consonant","block3","1",254.625
6,70,"-0.5","block3","Vowel","block3","1",144.625
6,71,"0.5","block3","Consonant","block3","0",254.625
6,72,"-0.5","block3","Vowel","block3","1",-56.375
6,73,"0.5","block3","Consonant","block3","1",-5.375
6,74,"-0.5","block3","Vowel","block3","1",-75.375
6,75,"-0.5","block3","Vowel","block3","1",-181.375
6,76,"0.5","block3","Consonant","block3","1",316.625
6,77,"0.5","block3","Consonant","block3","1",43.625
6,78,"-0.5","block3","Vowel","block3","1",-68.375
6,79,"-0.5","block3","Vowel","block3","1",-45.375
6,80,"0.5","block3","Consonant","block3","1",424.625
6,81,"-0.5","block3","Vowel","block3","1",-145.375
6,82,"0.5","block3","Consonant","block3","1",153.625
6,83,"-0.5","block3","Vowel","block3","1",-195.375
6,84,"0.5","block3","Consonant","block3","1",-75.375
6,85,"-0.5","block3","Vowel","block3","1",-65.375
6,86,"0.5","block3","Consonant","block3","1",-155.375
6,87,"-0.5","block3","Vowel","block3","0",524.625
6,88,"0.5","block3","Consonant","block3","1",554.625
6,89,"0.5","block3","Consonant","block3","1",-55.375
6,90,"-0.5","block3","Vowel","block3","1",625.625
6,91,"-0.5","block3","Vowel","block3","1",-65.375
6,92,"0.5","block3","Consonant","block3","1",244.625
6,93,"0.5","block3","Consonant","block3","1",-227.375
6,94,"-0.5","block3","Vowel","block3","1",-185.375
6,95,"0.5","block3","Consonant","block3","1",-6.375
6,96,"-0.5","block3","Vowel","block3","1",-147.375
7,1,"0.5","block1","Consonant","block1","1",1176.5
7,2,"-0.5","block1","Vowel","block1","0",-345.5
7,3,"-0.5","block1","Vowel","block1","0",242.5
7,4,"0.5","block1","Consonant","block1","1",257.5
7,5,"0.5","block1","Consonant","block1","1",-475.5
7,6,"-0.5","block1","Vowel","block1","1",7.5
7,7,"0.5","block1","Consonant","block1","0",193.5
7,8,"-0.5","block1","Vowel","block1","1",417.5
7,9,"-0.5","block1","Vowel","block1","1",1487.5
7,10,"0.5","block1","Consonant","block1","1",-493.5
7,11,"-0.5","block1","Vowel","block1","1",237.5
7,12,"0.5","block1","Consonant","block1","1",764.5
7,13,"0.5","block1","Consonant","block1","1",91.5
7,14,"-0.5","block1","Vowel","block1","1",1266.5
7,15,"-0.5","block1","Vowel","block1","1",-413.5
7,16,"0.5","block1","Consonant","block1","0",NA
7,17,"-0.5","block1","Vowel","block1","1",-33.5
7,18,"0.5","block1","Consonant","block1","1",53.5
7,19,"0.5","block1","Consonant","block1","1",919.5
7,20,"-0.5","block1","Vowel","block1","1",-461.5
7,21,"0.5","block1","Consonant","block1","1",-357.5
7,22,"-0.5","block1","Vowel","block1","1",-625.5
7,23,"-0.5","block1","Vowel","block1","1",-771.5
7,24,"0.5","block1","Consonant","block1","1",-51.5
7,25,"0.5","block1","Consonant","block1","1",-787.5
7,26,"-0.5","block1","Vowel","block1","1",-819.5
7,27,"-0.5","block1","Vowel","block1","1",-816.5
7,28,"0.5","block1","Consonant","block1","1",-661.5
7,29,"-0.5","block1","Vowel","block1","1",-820.5
7,30,"0.5","block1","Consonant","block1","1",-969.5
7,31,"0.5","block1","Consonant","block1","1",-523.5
7,32,"-0.5","block1","Vowel","block1","1",-1064.5
7,33,"-0.5","block2","Vowel","block2","1",-200.5
7,34,"0.5","block2","Consonant","block2","1",-162.5
7,35,"-0.5","block2","Vowel","block2","1",-306.5
7,36,"0.5","block2","Consonant","block2","1",604.5
7,37,"0.5","block2","Consonant","block2","0",182.5
7,38,"-0.5","block2","Vowel","block2","1",-294.5
7,39,"-0.5","block2","Vowel","block2","1",-719.5
7,40,"0.5","block2","Consonant","block2","1",436.5
7,41,"0.5","block2","Consonant","block2","1",-314.5
7,42,"-0.5","block2","Vowel","block2","1",-590.5
7,43,"0.5","block2","Consonant","block2","1",-698.5
7,44,"-0.5","block2","Vowel","block2","0",-729.5
7,45,"-0.5","block2","Vowel","block2","1",-300.5
7,46,"0.5","block2","Consonant","block2","1",-609.5
