subject,condition,block,group,item,word,phoneme,accuracy,raw_rt,means,adjusted_rt,new_rt,new_rt_3_5
5,filler,block4,28,140,meet,meet,1,3813,1145.857143,NA,NA,NA
6,target2,block4,25,121,backs,no,1,3830,772.125,NA,NA,NA
7,target1,block4,25,124,faith,th,1,3540,1287.25,NA,NA,NA
7,target2,block4,26,128,hat,no,0,4295,1287.25,NA,NA,NA
9,target1,block4,27,133,thick,th,0,3194,1338.375,NA,NA,NA
9,target1,block4,30,148,thing,th,1,3936,1338.375,NA,NA,NA
10,filler,block4,25,125,beat,beat,1,4686,1410.571429,NA,NA,NA
10,target1,block4,26,126,mouse,s,1,3358,1410.571429,NA,NA,NA
10,target2,block4,26,127,rock,o,1,3412,1410.571429,NA,NA,NA
10,target1,block4,26,129,force,s,0,3658,1410.571429,NA,NA,NA
10,target2,block4,28,136,stomp,o,1,4220,1410.571429,NA,NA,NA
10,target2,block4,28,138,sacks,no,1,3486,1410.571429,NA,NA,NA
10,target2,block4,29,141,rack,no,1,5102,1410.571429,NA,NA,NA
11,filler,block4,25,125,beat,beat,1,3070,1407.5,NA,NA,NA
11,target2,block4,26,128,hat,no,0,3506,1407.5,NA,NA,NA
11,target2,block4,27,134,rat,no,0,4149,1407.5,NA,NA,NA
11,target2,block4,28,136,stomp,o,1,6550,1407.5,NA,NA,NA
11,filler,block4,28,140,meet,meet,1,3051,1407.5,NA,NA,NA
11,target2,block4,32,158,lack,no,0,3033,1407.5,NA,NA,NA
13,target1,block4,25,124,faith,th,1,4697,1363,NA,NA,NA
13,target2,block4,28,136,stamp,no,0,4117,1363,NA,NA,NA
13,target1,block4,29,142,forth,th,0,3277,1363,NA,NA,NA
13,target1,block4,32,159,some,s,1,6014,1363,NA,NA,NA
14,target2,block4,29,141,rack,no,1,3092,1343.75,NA,NA,NA
14,target1,block4,29,142,force,s,1,3050,1343.75,NA,NA,NA
14,target1,block4,31,154,sin,s,1,NA,1343.75,NA,NA,NA
15,target2,block4,26,127,rack,no,0,3301,1266.75,NA,NA,NA
15,target1,block4,26,129,forth,th,1,3279,1266.75,NA,NA,NA
15,target2,block4,28,136,stamp,no,0,7090,1266.75,NA,NA,NA
16,target2,block4,27,134,rat,no,0,5455,1210.5,NA,NA,NA
16,target2,block4,28,136,stomp,o,1,3499,1210.5,NA,NA,NA
16,target2,block4,31,153,rat,no,1,NA,1210.5,NA,NA,NA
17,target2,block4,27,134,rot,o,1,3566,1635.857143,NA,NA,NA
17,filler,block4,27,135,resign,resign,1,4112,1635.857143,NA,NA,NA
17,target2,block4,30,149,hot,o,0,4304,1635.857143,NA,NA,NA
17,target1,block4,31,151,face,s,1,4174,1635.857143,NA,NA,NA
18,target1,block4,25,124,faith,th,1,3817,1136.25,NA,NA,NA
19,target1,block4,30,148,thing,th,1,3303,1295.75,NA,NA,NA
20,target1,block4,26,126,mouse,s,1,4364,1229.75,NA,NA,NA
23,target1,block4,25,122,thing,th,0,3701,1082,NA,NA,NA
23,target2,block4,30,149,hot,o,0,4312,1082,NA,NA,NA
23,target2,block4,31,152,socks,o,1,3993,1082,NA,NA,NA
24,target1,block4,25,124,face,s,0,4315,1509.875,NA,NA,NA
24,target1,block4,26,126,mouth,th,0,3140,1509.875,NA,NA,NA
24,target2,block4,26,128,hot,o,1,3299,1509.875,NA,NA,NA
24,target2,block4,27,134,rot,o,1,3590,1509.875,NA,NA,NA
25,target2,block4,27,134,rot,o,1,5751,1058.875,NA,NA,NA
26,target1,block4,27,133,thick,th,0,6680,1144.25,NA,NA,NA
26,target2,block4,27,134,rot,o,1,3034,1144.25,NA,NA,NA
27,target2,block4,25,121,box,o,0,6828,1592.428571,NA,NA,NA
27,target1,block4,26,126,mouse,s,1,3146,1592.428571,NA,NA,NA
27,target2,block4,26,128,hot,o,1,3987,1592.428571,NA,NA,NA
27,target2,block4,27,132,lack,no,1,6987,1592.428571,NA,NA,NA
27,target2,block4,27,134,rot,o,1,5277,1592.428571,NA,NA,NA
27,target1,block4,29,142,force,s,1,4266,1592.428571,NA,NA,NA
27,filler,block4,29,145,name,name,1,4146,1592.428571,NA,NA,NA
27,target2,block4,30,149,hat,no,1,3564,1592.428571,NA,NA,NA
27,target2,block4,31,153,rat,no,1,8364,1592.428571,NA,NA,NA
